date,product_code,product,variant,sold_quantity,quater,gross_price,gross_price_total
2020-09-01,A1018150102,"AQ 5000 Series Electron 9 5900X Desktop Processor",Plus,51,Q1,123.4797,6297.4647
2020-09-01,A1018150103,"AQ 5000 Series Electron 9 5900X Desktop Processor",Premium,159,Q1,123.9315,19705.1085
2020-09-01,A1118150201,"AQ 5000 Series Electron 8 5900X Desktop Processor",Standard,106,Q1,124.2640,13171.9840
2020-09-01,A1118150202,"AQ 5000 Series Electron 8 5900X Desktop Processor",Plus,33,Q1,129.5836,4276.2588
2020-09-01,A1119150203,"AQ 5000 Series Electron 8 5900X Desktop Processor",Premium,158,Q1,139.8962,22103.5996
2020-09-01,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,114,Q1,135.6822,15467.7708
2020-09-01,A1219150302,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Plus,168,Q1,145.1474,24384.7632
2020-09-01,A1219150303,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Premium,153,Q1,142.9402,21869.8506
2020-09-01,A1319150401,"AQ Electron 5 3600 Desktop Processor",Standard,152,Q1,149.1034,22663.7168
2020-09-01,A1320150402,"AQ Electron 5 3600 Desktop Processor",Plus,112,Q1,150.2450,16827.4400
2020-09-01,A1320150403,"AQ Electron 5 3600 Desktop Processor",Premium,186,Q1,160.6912,29888.5632
2020-09-01,A1420150501,"AQ Electron 4 3600 Desktop Processor",Standard,87,Q1,160.5082,13964.2134
2020-09-01,A1420150502,"AQ Electron 4 3600 Desktop Processor",Plus,81,Q1,169.4999,13729.4919
2020-09-01,A1421150503,"AQ Electron 4 3600 Desktop Processor",Premium,84,Q1,176.4389,14820.8676
2020-09-01,A1521150601,"AQ Electron 3 3600 Desktop Processor",Standard,82,Q1,186.2917,15275.9194
2020-09-01,A1521150602,"AQ Electron 3 3600 Desktop Processor",Plus,168,Q1,185.4599,31157.2632
2020-09-01,A1618150101,"AQ MB Elite",Standard,117,Q1,19.6485,2298.8745
2020-09-01,A1618150102,"AQ MB Elite","Plus 1",141,Q1,20.4629,2885.2689
2020-09-01,A1618150103,"AQ MB Elite","Plus 2",43,Q1,21.2017,911.6731
2020-09-01,A1618150104,"AQ MB Elite",Premium,67,Q1,21.4489,1437.0763
2020-09-01,A1718150201,"AQ MB Crossx",Standard,37,Q1,21.8879,809.8523
2020-09-01,A1718150202,"AQ MB Crossx","Plus 1",102,Q1,22.8957,2335.3614
2020-09-01,A1718150203,"AQ MB Crossx","Plus 2",110,Q1,27.3445,3007.8950
2020-09-01,A1718150204,"AQ MB Crossx",Premium,32,Q1,28.3991,908.7712
2020-09-01,A1819150301,"AQ MB Crossx 2",Standard,20,Q1,28.8615,577.2300
2020-09-01,A1819150302,"AQ MB Crossx 2","Plus 1",38,Q1,31.9525,1214.1950
2020-09-01,A1819150303,"AQ MB Crossx 2","Plus 2",48,Q1,32.1924,1545.2352
2020-09-01,A1819150304,"AQ MB Crossx 2",Premium,84,Q1,32.2612,2709.9408
2020-09-01,A1919150401,"AQ MB Lito",Standard,103,Q1,33.7609,3477.3727
2020-09-01,A1919150402,"AQ MB Lito","Plus 1",144,Q1,35.0256,5043.6864
2020-09-01,A1919150403,"AQ MB Lito","Plus 2",54,Q1,35.8350,1935.0900
2020-09-01,A1920150404,"AQ MB Lito",Premium,81,Q1,38.9780,3157.2180
2020-09-01,A2020150501,"AQ MB Lito 2",Standard,143,Q1,41.3696,5915.8528
2020-09-01,A2020150502,"AQ MB Lito 2","Plus 1",115,Q1,39.3932,4530.2180
2020-09-01,A2021150503,"AQ MB Lito 2","Plus 2",17,Q1,45.4377,772.4409
2020-09-01,A2118150101,"AQ Master wired x1 Ms","Standard 1",537,Q1,2.9434,1580.6058
2020-09-01,A2118150102,"AQ Master wired x1 Ms","Standard 2",177,Q1,3.9998,707.9646
2020-09-01,A2118150103,"AQ Master wired x1 Ms","Plus 1",383,Q1,4.5295,1734.7985
2020-09-01,A2118150104,"AQ Master wired x1 Ms","Plus 2",433,Q1,5.0459,2184.8747
2020-09-01,A2118150105,"AQ Master wired x1 Ms","Premium 1",844,Q1,4.6904,3958.6976
2020-09-01,A2118150106,"AQ Master wired x1 Ms","Premium 2",944,Q1,5.2542,4959.9648
2020-09-01,A2218150201,"AQ Master wireless x1 Ms","Standard 1",129,Q1,5.4383,701.5407
2020-09-01,A2218150202,"AQ Master wireless x1 Ms","Standard 2",218,Q1,6.4054,1396.3772
2020-09-01,A2219150203,"AQ Master wireless x1 Ms","Plus 1",686,Q1,6.7301,4616.8486
2020-09-01,A2219150204,"AQ Master wireless x1 Ms","Plus 2",749,Q1,7.3526,5507.0974
2020-09-01,A2219150205,"AQ Master wireless x1 Ms","Premium 1",969,Q1,7.9813,7733.8797
2020-09-01,A2219150206,"AQ Master wireless x1 Ms","Premium 2",578,Q1,8.3193,4808.5554
2020-09-01,A2319150301,"AQ Gamers Ms","Standard 1",765,Q1,8.8044,6735.3660
2020-09-01,A2319150302,"AQ Gamers Ms","Standard 2",537,Q1,8.9901,4827.6837
2020-09-01,A2319150303,"AQ Gamers Ms","Plus 1",888,Q1,9.3977,8345.1576
2020-09-01,A2319150304,"AQ Gamers Ms","Plus 2",466,Q1,10.4573,4873.1018
2020-09-01,A2319150305,"AQ Gamers Ms","Premium 1",516,Q1,10.4370,5385.4920
2020-09-01,A2319150306,"AQ Gamers Ms","Premium 2",200,Q1,10.8659,2173.1800
2020-09-01,A2419150401,"AQ Lite Ms","Standard 1",181,Q1,11.4829,2078.4049
2020-09-01,A2419150402,"AQ Lite Ms","Standard 2",218,Q1,11.2819,2459.4542
2020-09-01,A2419150403,"AQ Lite Ms","Plus 1",310,Q1,10.8925,3376.6750
2020-09-01,A2419150404,"AQ Lite Ms","Plus 2",144,Q1,11.6332,1675.1808
2020-09-01,A2419150405,"AQ Lite Ms","Premium 1",495,Q1,12.7423,6307.4385
2020-09-01,A2420150406,"AQ Lite Ms","Premium 2",302,Q1,12.2979,3713.9658
2020-09-01,A2520150501,"AQ Maxima Ms","Standard 1",1036,Q1,12.0689,12503.3804
2020-09-01,A2520150502,"AQ Maxima Ms","Standard 2",903,Q1,14.5267,13117.6101
2020-09-01,A2520150503,"AQ Maxima Ms","Plus 1",872,Q1,14.1682,12354.6704
2020-09-01,A2520150504,"AQ Maxima Ms","Plus 2",709,Q1,14.2800,10124.5200
2020-09-01,A2520150505,"AQ Maxima Ms","Premium 1",497,Q1,15.1762,7542.5714
2020-09-01,A2520150506,"AQ Maxima Ms","Premium 2",973,Q1,14.5677,14174.3721
2020-09-01,A2620150601,"AQ Qwerty Ms","Standard 1",570,Q1,14.9013,8493.7410
2020-09-01,A2620150602,"AQ Qwerty Ms","Standard 2",664,Q1,15.8102,10497.9728
2020-09-01,A2620150603,"AQ Qwerty Ms","Plus 1",915,Q1,15.9792,14620.9680
2020-09-01,A2620150604,"AQ Qwerty Ms","Plus 2",433,Q1,16.5491,7165.7603
2020-09-01,A2620150605,"AQ Qwerty Ms","Premium 1",200,Q1,16.5882,3317.6400
2020-09-01,A2620150606,"AQ Qwerty Ms","Premium 2",688,Q1,16.7850,11548.0800
2020-09-01,A2720150701,"AQ Trigger Ms","Standard 1",822,Q1,17.0917,14049.3774
2020-09-01,A2721150702,"AQ Trigger Ms","Standard 2",171,Q1,17.2368,2947.4928
2020-09-01,A2721150703,"AQ Trigger Ms","Plus 1",331,Q1,16.9353,5605.5843
2020-09-01,A2721150704,"AQ Trigger Ms","Plus 2",472,Q1,19.5860,9244.5920
2020-09-01,A2721150705,"AQ Trigger Ms","Premium 1",1021,Q1,19.4042,19811.6882
2020-09-01,A2721150706,"AQ Trigger Ms","Premium 2",404,Q1,20.0537,8101.6948
2020-09-01,A2821150801,"AQ Lumina Ms","Standard 1",314,Q1,21.7118,6817.5052
2020-09-01,A2918150101,"AQ Master wired x1","Standard 1",373,Q1,6.8991,2573.3643
2020-09-01,A2918150102,"AQ Master wired x1","Standard 2",296,Q1,7.5979,2248.9784
2020-09-01,A2918150103,"AQ Master wired x1","Plus 1",290,Q1,7.7693,2253.0970
2020-09-01,A2918150104,"AQ Master wired x1","Plus 2",239,Q1,8.9514,2139.3846
2020-09-01,A2918150105,"AQ Master wired x1","Premium 1",364,Q1,9.4650,3445.2600
2020-09-01,A2918150106,"AQ Master wired x1","Premium 2",602,Q1,10.4188,6272.1176
2020-09-01,A3018150201,"AQ Master wireless x1","Standard 1",649,Q1,10.7955,7006.2795
2020-09-01,A3018150202,"AQ Master wireless x1","Standard 2",876,Q1,11.0524,9681.9024
2020-09-01,A3018150203,"AQ Master wireless x1","Plus 1",635,Q1,12.3739,7857.4265
2020-09-01,A3019150204,"AQ Master wireless x1","Plus 2",202,Q1,11.6011,2343.4222
2020-09-01,A3019150205,"AQ Master wireless x1","Premium 1",260,Q1,12.0509,3133.2340
2020-09-01,A3019150206,"AQ Master wireless x1","Premium 2",266,Q1,13.0018,3458.4788
2020-09-01,A3119150301,"AQ Gamers ","Standard 1",560,Q1,13.5061,7563.4160
2020-09-01,A3119150302,"AQ Gamers ","Standard 2",396,Q1,15.3071,6061.6116
2020-09-01,A3119150303,"AQ Gamers ","Plus 1",387,Q1,16.2407,6285.1509
2020-09-01,A3120150304,"AQ Gamers ","Plus 2",831,Q1,16.3792,13611.1152
2020-09-01,A3120150305,"AQ Gamers ","Premium 1",609,Q1,16.3218,9939.9762
2020-09-01,A3120150306,"AQ Gamers ","Premium 2",194,Q1,19.3003,3744.2582
2020-09-01,A3220150401,"AQ Lite","Standard 1",197,Q1,18.4943,3643.3771
2020-09-01,A3220150402,"AQ Lite","Standard 2",275,Q1,18.7947,5168.5425
2020-09-01,A3220150403,"AQ Lite","Plus 1",781,Q1,18.5844,14514.4164
2020-09-01,A3220150404,"AQ Lite","Plus 2",861,Q1,18.4219,15861.2559
2020-09-01,A3220150405,"AQ Lite","Premium 1",224,Q1,18.9415,4242.8960
2020-09-01,A3220150406,"AQ Lite","Premium 2",451,Q1,20.0066,9022.9766
2020-09-01,A3320150501,"AQ Maxima","Standard 1",195,Q1,20.3908,3976.2060
2020-09-01,A3320150502,"AQ Maxima","Standard 2",172,Q1,21.6988,3732.1936
2020-09-01,A3320150503,"AQ Maxima","Plus 1",637,Q1,20.8733,13296.2921
2020-09-01,A3320150504,"AQ Maxima","Plus 2",723,Q1,22.1341,16002.9543
2020-09-01,A3320150505,"AQ Maxima","Premium 1",576,Q1,23.0844,13296.6144
2020-09-01,A3320150506,"AQ Maxima","Premium 2",530,Q1,23.7678,12596.9340
2020-09-01,A3420150601,"AQ Qwerty","Standard 1",375,Q1,24.5690,9213.3750
2020-09-01,A3420150602,"AQ Qwerty","Standard 2",206,Q1,23.9726,4938.3556
2020-09-01,A3421150603,"AQ Qwerty","Plus 1",579,Q1,26.9507,15604.4553
2020-09-01,A3421150604,"AQ Qwerty","Plus 2",114,Q1,27.4152,3125.3328
2020-09-01,A3421150605,"AQ Qwerty","Premium 1",417,Q1,29.8692,12455.4564
2020-09-01,A3421150606,"AQ Qwerty","Premium 2",368,Q1,29.6709,10918.8912
2020-09-01,A3521150701,"AQ Trigger","Standard 1",92,Q1,29.3872,2703.6224
2020-09-01,A3521150702,"AQ Trigger","Standard 2",389,Q1,30.3414,11802.8046
2020-09-01,A3521150703,"AQ Trigger","Plus 1",444,Q1,31.7665,14104.3260
2020-09-01,A3521150704,"AQ Trigger","Plus 2",137,Q1,33.6246,4606.5702
2020-09-01,A3521150705,"AQ Trigger","Premium 1",796,Q1,34.5114,27471.0744
2020-09-01,A3718150101,"AQ LION x1",Standard,34,Q1,16.5127,561.4318
2020-09-01,A3718150102,"AQ LION x1","Plus 1 ",25,Q1,16.1015,402.5375
2020-09-01,A3718150103,"AQ LION x1","Plus 2",28,Q1,17.5697,491.9516
2020-09-01,A3718150105,"AQ LION x1",Premium,51,Q1,18.0312,919.5912
2020-09-01,A3818150201,"AQ LION x2",Standard,78,Q1,17.2648,1346.6544
2020-09-01,A3818150202,"AQ LION x2","Plus 1 ",87,Q1,17.5197,1524.2139
2020-09-01,A3819150203,"AQ LION x2","Plus 2",88,Q1,18.4533,1623.8904
2020-09-01,A3819150204,"AQ LION x2","Plus 3",28,Q1,21.1942,593.4376
2020-09-01,A3819150205,"AQ LION x2",Premium,55,Q1,21.6066,1188.3630
2020-09-01,A3920150301,"AQ LION x3",Standard,69,Q1,22.1454,1528.0326
2020-09-01,A3920150302,"AQ LION x3","Plus 1 ",33,Q1,23.1520,764.0160
2020-09-01,A3920150303,"AQ LION x3","Plus 2",79,Q1,25.4670,2011.8930
2020-09-01,A3920150304,"AQ LION x3","Plus 3",75,Q1,25.0442,1878.3150
2020-09-01,A3920150305,"AQ LION x3",Premium,66,Q1,27.4546,1812.0036
2020-09-01,A4020150401,"AQ Mx NB",Standard,31,Q1,26.9302,834.8362
2020-09-01,A4020150402,"AQ Mx NB","Plus 1 ",23,Q1,28.4500,654.3500
2020-09-01,A4021150403,"AQ Mx NB","Plus 2",52,Q1,29.9423,1556.9996
2020-09-01,A4021150404,"AQ Mx NB","Plus 3",75,Q1,28.5800,2143.5000
2020-09-01,A4021150405,"AQ Mx NB",Premium,36,Q1,31.7029,1141.3044
2020-09-01,A4118110105,"AQ Aspiron","Plus Blue",22,Q1,182.8932,4023.6504
2020-09-01,A4118110106,"AQ Aspiron","Plus Red",9,Q1,187.7533,1689.7797
2020-09-01,A4118110107,"AQ Aspiron","Premium Black",20,Q1,195.7721,3915.4420
2020-09-01,A4218110201,"AQ Digit","Standard Grey",11,Q1,200.2732,2203.0052
2020-09-01,A4218110202,"AQ Digit","Standard Blue",9,Q1,215.9341,1943.4069
2020-09-01,A4218110203,"AQ Digit","Standard Red",11,Q1,236.8486,2605.3346
2020-09-01,A4218110204,"AQ Digit","Plus Grey",27,Q1,232.1038,6266.8026
2020-09-01,A4218110205,"AQ Digit","Plus Blue",40,Q1,240.1403,9605.6120
2020-09-01,A4218110206,"AQ Digit","Plus Red",15,Q1,237.0183,3555.2745
2020-09-01,A4218110207,"AQ Digit","Premium Black",26,Q1,249.1303,6477.3878
2020-09-01,A4218110208,"AQ Digit","Premium Misty Green",34,Q1,243.0414,8263.4076
2020-09-01,A4318110301,"AQ Velocity","Standard Grey",29,Q1,264.7000,7676.3000
2020-09-01,A4319110302,"AQ Velocity","Standard Blue",38,Q1,267.2091,10153.9458
2020-09-01,A4319110303,"AQ Velocity","Standard Red",36,Q1,261.2305,9404.2980
2020-09-01,A4319110304,"AQ Velocity","Plus Grey",40,Q1,267.0636,10682.5440
2020-09-01,A4319110305,"AQ Velocity","Plus Blue",23,Q1,277.8079,6389.5817
2020-09-01,A4319110306,"AQ Velocity","Plus Red",29,Q1,275.8194,7998.7626
2020-09-01,A4419110401,"AQ Elite","Standard Grey",9,Q1,271.3471,2442.1239
2020-09-01,A4419110402,"AQ Elite","Standard Blue",37,Q1,281.9504,10432.1648
2020-09-01,A4419110403,"AQ Elite","Standard Red",16,Q1,288.0503,4608.8048
2020-09-01,A4419110404,"AQ Elite","Plus Grey",29,Q1,286.8973,8320.0217
2020-09-01,A4419110405,"AQ Elite","Plus Blue",15,Q1,291.2071,4368.1065
2020-09-01,A4419110406,"AQ Elite","Plus Red",9,Q1,287.5666,2588.0994
2020-09-01,A4419110407,"AQ Elite","Premium Black",12,Q1,287.4934,3449.9208
2020-09-01,A4419110408,"AQ Elite","Premium Misty Green",19,Q1,297.0277,5643.5263
2020-09-01,A4519110501,"AQ Gen X","Standard Grey",31,Q1,311.8396,9667.0276
2020-09-01,A4519110502,"AQ Gen X","Standard Blue",40,Q1,300.3378,12013.5120
2020-09-01,A4519110503,"AQ Gen X","Standard Red",21,Q1,306.9189,6445.2969
2020-09-01,A4520110504,"AQ Gen X","Plus Grey",22,Q1,341.7343,7518.1546
2020-09-01,A4520110505,"AQ Gen X","Plus Blue",24,Q1,325.2156,7805.1744
2020-09-01,A4520110506,"AQ Gen X","Plus Red",35,Q1,325.2561,11383.9635
2020-09-01,A4520110507,"AQ Gen X","Premium Black",29,Q1,322.9426,9365.3354
2020-09-01,A4520110508,"AQ Gen X","Premium Misty Green",28,Q1,327.0930,9158.6040
2020-09-01,A4620110601,"AQ Gen Y","Standard Grey",31,Q1,347.2474,10764.6694
2020-09-01,A4620110602,"AQ Gen Y","Standard Blue",10,Q1,346.6886,3466.8860
2020-09-01,A4620110603,"AQ Gen Y","Standard Red",8,Q1,366.0459,2928.3672
2020-09-01,A4620110604,"AQ Gen Y","Plus Grey",11,Q1,353.0982,3884.0802
2020-09-01,A4620110605,"AQ Gen Y","Plus Blue",16,Q1,349.2525,5588.0400
2020-09-01,A4620110606,"AQ Gen Y","Plus Red",33,Q1,348.5375,11501.7375
2020-09-01,A4620110607,"AQ Gen Y","Premium Black",20,Q1,347.8030,6956.0600
2020-09-01,A4620110608,"AQ Gen Y","Premium Misty Green",27,Q1,363.0630,9802.7010
2020-09-01,A4720110701,"AQ GEN Z","Standard Grey",10,Q1,367.7335,3677.3350
2020-09-01,A4720110702,"AQ GEN Z","Standard Blue",17,Q1,371.4027,6313.8459
2020-09-01,A4721110703,"AQ GEN Z","Standard Red",13,Q1,361.6496,4701.4448
2020-09-01,A4721110704,"AQ GEN Z","Plus Grey",38,Q1,380.2153,14448.1814
2020-09-01,A4721110705,"AQ GEN Z","Plus Blue",11,Q1,377.4069,4151.4759
2020-09-01,A4918110101,"AQ BZ 101","Standard Grey",13,Q1,419.1936,5449.5168
2020-09-01,A4918110102,"AQ BZ 101","Standard Blue",10,Q1,451.4881,4514.8810
2020-09-01,A4918110103,"AQ BZ 101","Premium Black",28,Q1,428.1451,11988.0628
2020-09-01,A4918110104,"AQ BZ 101","Premium Misty Green",15,Q1,460.2805,6904.2075
2020-09-01,A5018110201,"AQ BZ Compact","Standard Grey",17,Q1,451.7049,7678.9833
2020-09-01,A5018110202,"AQ BZ Compact","Standard Blue",16,Q1,462.5568,7400.9088
2020-09-01,A5018110203,"AQ BZ Compact","Standard Red",10,Q1,452.1420,4521.4200
2020-09-01,A5018110204,"AQ BZ Compact","Plus Grey",14,Q1,447.7337,6268.2718
2020-09-01,A5018110205,"AQ BZ Compact","Plus Blue",24,Q1,486.1763,11668.2312
2020-09-01,A5018110206,"AQ BZ Compact","Plus Red",27,Q1,475.5544,12839.9688
2020-09-01,A5018110207,"AQ BZ Compact","Premium Black",17,Q1,475.1904,8078.2368
2020-09-01,A5019110208,"AQ BZ Compact","Premium Misty Green",19,Q1,467.3047,8878.7893
2020-09-01,A5119110301,"AQ BZ Gen Y","Standard Grey",10,Q1,479.0441,4790.4410
2020-09-01,A5119110302,"AQ BZ Gen Y","Standard Blue",24,Q1,474.3132,11383.5168
2020-09-01,A5119110303,"AQ BZ Gen Y","Standard Red",23,Q1,474.3154,10909.2542
2020-09-01,A5119110305,"AQ BZ Gen Y","Plus Blue",7,Q1,483.3813,3383.6691
2020-09-01,A5119110306,"AQ BZ Gen Y","Plus Red",26,Q1,486.4857,12648.6282
2020-09-01,A5119110307,"AQ BZ Gen Y","Premium Black",27,Q1,516.4580,13944.3660
2020-09-01,A5119110308,"AQ BZ Gen Y","Premium Misty Green",9,Q1,512.5811,4613.2299
2020-09-01,A5219110401,"AQ BZ Gen Z","Standard Grey",27,Q1,506.9644,13688.0388
2020-09-01,A5219110402,"AQ BZ Gen Z","Standard Blue",20,Q1,490.1582,9803.1640
2020-09-01,A5219110403,"AQ BZ Gen Z","Standard Red",12,Q1,525.8042,6309.6504
2020-09-01,A5219110405,"AQ BZ Gen Z","Plus Blue",11,Q1,521.2603,5733.8633
2020-09-01,A5219110406,"AQ BZ Gen Z","Plus Red",18,Q1,550.4597,9908.2746
2020-09-01,A5219110407,"AQ BZ Gen Z","Premium Black",22,Q1,545.5931,12003.0482
2020-09-01,A5220110408,"AQ BZ Gen Z","Premium Misty Green",12,Q1,533.0397,6396.4764
2020-09-01,A5318110103,"AQ Gamer 1","Standard Black",6,Q1,584.9722,3509.8332
2020-09-01,A5318110104,"AQ Gamer 1","Plus Firey Red",9,Q1,586.3824,5277.4416
2020-09-01,A5318110105,"AQ Gamer 1","Plus Cool Blue",8,Q1,551.3303,4410.6424
2020-09-01,A5318110106,"AQ Gamer 1","Plus Black",14,Q1,565.8747,7922.2458
2020-09-01,A5318110107,"AQ Gamer 1","Premium Black",8,Q1,571.6489,4573.1912
2020-09-01,A5318110108,"AQ Gamer 1","Premium Misty Green",17,Q1,579.6609,9854.2353
2020-09-01,A5419110201,"AQ Gamer 2","Standard Firey Red",11,Q1,585.0003,6435.0033
2020-09-01,A5419110202,"AQ Gamer 2","Standard Cool Blue",6,Q1,567.9271,3407.5626
2020-09-01,A5419110203,"AQ Gamer 2","Standard Black",14,Q1,595.5711,8337.9954
2020-09-01,A5419110204,"AQ Gamer 2","Plus Firey Red",5,Q1,602.9200,3014.6000
2020-09-01,A5419110205,"AQ Gamer 2","Plus Cool Blue",7,Q1,570.7578,3995.3046
2020-09-01,A5419110206,"AQ Gamer 2","Plus Black",4,Q1,601.6398,2406.5592
2020-09-01,A5419110207,"AQ Gamer 2","Premium Black",5,Q1,599.2302,2996.1510
2020-09-01,A5419110208,"AQ Gamer 2","Premium Misty Green",4,Q1,608.4070,2433.6280
2020-09-01,A5519110301,"AQ Gamer 3","Standard Firey Red",3,Q1,589.7411,1769.2233
2020-09-01,A5519110302,"AQ Gamer 3","Standard Cool Blue",13,Q1,605.8642,7876.2346
2020-09-01,A5519110303,"AQ Gamer 3","Standard Black",4,Q1,604.2721,2417.0884
2020-09-01,A5519110304,"AQ Gamer 3","Plus Firey Red",6,Q1,597.7704,3586.6224
2020-09-01,A5520110305,"AQ Gamer 3","Plus Cool Blue",6,Q1,632.4885,3794.9310
2020-09-01,A5520110306,"AQ Gamer 3","Plus Black",14,Q1,639.6816,8955.5424
2020-09-01,A5520110307,"AQ Gamer 3","Premium Black",5,Q1,609.7926,3048.9630
2020-09-01,A5520110308,"AQ Gamer 3","Premium Misty Green",11,Q1,590.1159,6491.2749
2020-09-01,A5620110401,"AQ Smash 1","Standard Firey Red",8,Q1,642.0698,5136.5584
2020-09-01,A5620110402,"AQ Smash 1","Standard Cool Blue",8,Q1,593.8297,4750.6376
2020-09-01,A5621110403,"AQ Smash 1","Standard Black",13,Q1,631.1855,8205.4115
2020-09-01,A5621110404,"AQ Smash 1","Plus Firey Red",15,Q1,639.9614,9599.4210
2020-09-01,A5621110405,"AQ Smash 1","Plus Cool Blue",12,Q1,601.8173,7221.8076
2020-09-01,A5621110406,"AQ Smash 1","Plus Black",10,Q1,644.3777,6443.7770
2020-09-01,A5621110407,"AQ Smash 1","Premium Black",10,Q1,655.7782,6557.7820
2020-09-01,A5621110408,"AQ Smash 1","Premium Misty Green",14,Q1,657.2525,9201.5350
2020-09-01,A5721110501,"AQ Smash 2","Standard Firey Red",7,Q1,649.6929,4547.8503
2020-09-01,A5721110502,"AQ Smash 2","Standard Cool Blue",13,Q1,627.9938,8163.9194
2020-09-01,A5721110503,"AQ Smash 2","Standard Black",7,Q1,678.3035,4748.1245
2020-09-01,A5721110504,"AQ Smash 2","Plus Firey Red",15,Q1,655.8348,9837.5220
2020-09-01,A5721110505,"AQ Smash 2","Plus Cool Blue",6,Q1,674.4272,4046.5632
2020-09-01,A5721110506,"AQ Smash 2","Plus Black",6,Q1,720.5460,4323.2760
2020-09-01,A5820110101,"AQ BZ Allin1","Standard 1",27,Q1,681.3022,18395.1594
